"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Naoch chara and others","2023-01-06","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-07","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-08","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-10","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-11","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-13","2023","01","0.0077137516","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-12","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-17","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-18","2023","01","0.0033580637","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-19","2023","01","0.0139136487","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-21","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-23","2023","01","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-01-24","2023","01","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-01","2023","01","0.0374325088","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-02","2023","01","0.0046968564","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-03","2023","01","0.0048795659","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-04","2023","01","2.18768E-5","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-05","2023","01","2.0076980618","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-06","2023","01","0.0076708117","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-07","2023","01","0.0319474627","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-08","2023","01","0.0001184412","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-10","2023","01","0.0001304755","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-11","2023","01","4.636E-6","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-13","2023","01","2.2157641406","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-12","2023","01","1.4997060607","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-14","2023","01","0.3841212038","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-15","2023","01","3.8231033597","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-17","2023","01","0.0008790797","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-18","2023","01","2.15941E-5","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-19","2023","01","0.0613802087","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-20","2023","01","0.0025378199","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-21","2023","01","0.0847225231","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-23","2023","01","3.2780814991","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-22","2023","01","0.015728298","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-01-24","2023","01","2.4674388804","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-01","2023","01","0.0628191704","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-02","2023","01","0.0244350941","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-03","2023","01","0.0603874294","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-04","2023","01","0.1193605788","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-05","2023","01","4.0738596604","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-06","2023","01","0.0801645653","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-07","2023","01","0.0934949496","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-08","2023","01","0.0421630008","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-09","2023","01","0.0620293306","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-10","2023","01","0.0642051501","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-11","2023","01","0.0414632844","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-13","2023","01","2.22164348","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-12","2023","01","2.1921470706","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-14","2023","01","1.3856746159","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-15","2023","01","2.6557940876","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-17","2023","01","0.3029196485","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-18","2023","01","0.7632794032","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-19","2023","01","0.0654176193","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-20","2023","01","0.0169712833","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-21","2023","01","0.5174717468","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-23","2023","01","2.128147831","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-22","2023","01","0.018012571","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-01-24","2023","01","1.796204073","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-02","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-01","2023","01","0.0003796132","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-03","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-05","2023","01","0.0005762238","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-06","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-07","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-08","2023","01","3.74793E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-10","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-11","2023","01","4.28108E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-12","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-13","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-17","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-19","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-18","2023","01","0.1020446468","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-21","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-23","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-01-24","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-02","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-01","2023","01","0.0004188079","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-03","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-04","2023","01","NA","NRSC VIC MODEL"
