"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-17","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-18","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-19","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-20","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-21","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-22","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-23","2022","12","0.0023848766","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-25","2022","12","0.0004850782","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-26","2022","12","0.0535607543","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-27","2022","12","1.9209208912","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2022-12-28","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-01","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-02","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-03","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-05","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-06","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-07","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-09","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-11","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-10","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-12","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-13","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-14","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-15","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-16","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-17","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-18","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-19","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-20","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-21","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-22","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-23","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-24","2022","12","NA","NRSC VIC MODEL"
