"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-08","2022","10","5.125707028","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-09","2022","10","18.1066295172","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-10","2022","10","16.7113094024","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-11","2022","10","24.6215185875","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-12","2022","10","18.0668357078","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-13","2022","10","13.2050402647","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-14","2022","10","2.1098962297","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-15","2022","10","0.7939172371","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-16","2022","10","0.2499470295","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-17","2022","10","0.1482338018","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-18","2022","10","0.5854712379","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-20","2022","10","0.0848150917","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-19","2022","10","0.1133192878","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-21","2022","10","0.0813390673","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-22","2022","10","0.2464770841","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-23","2022","10","0.0884590025","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-24","2022","10","8.2925530375","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-25","2022","10","39.3017592705","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-26","2022","10","5.6834489432","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-27","2022","10","0.6533639921","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-10-28","2022","10","0.1843047959","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-01","2022","10","0.1309809462","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-02","2022","10","0.2801383966","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-03","2022","10","0.964644654","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-04","2022","10","3.2967550423","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-05","2022","10","11.1094955626","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-06","2022","10","8.33399877","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-07","2022","10","6.2068707841","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-08","2022","10","4.3918666225","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-09","2022","10","11.8046952766","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-10","2022","10","12.7083171155","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-11","2022","10","12.7216779716","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-12","2022","10","6.1175451868","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-13","2022","10","3.9357543983","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-14","2022","10","3.5908649613","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-15","2022","10","1.8120876909","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-16","2022","10","0.1218542267","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-17","2022","10","0.1417317398","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-18","2022","10","1.054362833","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-20","2022","10","0.226755221","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-19","2022","10","0.7731566323","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-21","2022","10","0.0875078106","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-22","2022","10","0.2109690307","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-23","2022","10","0.1578057432","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-24","2022","10","3.9921099411","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-25","2022","10","27.3897770173","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-26","2022","10","11.7126736868","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-27","2022","10","1.8221698983","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-10-28","2022","10","0.3730267375","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-01","2022","10","4.0008178495","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-03","2022","10","7.3710096079","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-02","2022","10","6.4679453263","NRSC VIC MODEL"
